Car Name,Mileage,Dealer Name,Rating,Review Count,Price,Badge Label,Reviews,Car Rating
2016 Audi A4 2.0T Premium,"92,124 mi.",NJ State Auto Used Cars,4.2,(672 reviews),"$14,359",Good Deal,"['April 22, 2021\nBy Tommy from San Antonio tx\nOwns this car', 'This car is way over rated. Transmission is sluggish and delayed. Not satisfied at all. Hidden finance charges totaling sixteen thousand dollars.horrible customer service worse service ever.', 'November  9, 2020\nBy Ewell34 from Springfield\nOwns this car', 'I bought this car over a year ago. I had no problems after driving it for 11000 miles. Very comfortable ride and nice performance on the highway. Would definitely recommend', 'September  5, 2020\nBy Someguy\nOwns this car', 'Solid, great looking, fun to drive. Glad to have the 2016 instead of the 2017. No screen blocking your view. Lovely interior and great sound.']",4.2
2015 Buick Enclave Leather,"111,488 mi.",NJ State Auto Used Cars,4.2,(672 reviews),"$13,517",Fair Deal,"['March 26, 2021\nBy Leo Appreciates a great ride from USA, USA\nOwns this car', 'Buick enclave great car for comfort and reliability and value Bought this car new\nAnd I’ve kept it much longer than most vehicles that I have purchased because it is such a great vehicle. Comfortable to drive in town and on road trips. Excellent for people in my big Shepherd enjoys riding in the back with the seats folded down', 'January 11, 2021\nBy D Horsechief from Lawton,OK\nOwns this car', 'I have enough room for my big family! Vehicle drives smoothly on and off the highway probably the nicest thing I have ever bought for myself and kids.', 'September 27, 2020\nBy Jimmy from tucson, az\nOwns this car', ""Smooth ride, great power, room for everything, and really comfortable. My only knock on there isn't a whole lot of acceleration. I can't speak about reliability yet as I've only owned the car about a month.""]",4.2
2012 Jeep Grand Cherokee Laredo,"133,821 mi.",Road Masters II Inc.,n/a,(77 reviews),"$9,995",Great Deal | $399 under,"['June 28, 2023\nBy CatTayl from Chatsworth, Illinois\nOwns this car', 'Bought this SUV last week. My ""new"" 2012 JGC had 227,000 miles on it. The salesperson didn\'t know much about the Jeep, as it was a Ford dealership I had gone to. Two days later, I had to go for preparations to bury my son, over 800 miles away. I was very fearful, because I had this JGC that I had never driven before, and I was on this journey alone. I have seen so many cars with temp plates sitting on the side of the road, and was fearful mine could just be another one. Needless to say, the only 2 things I haven\'t liked about my vehicle transaction, is that there is no owners manual, and evidently the sensor for low fuel doesn\'t work. I knew about the owners manual before the purchase, but not the low fuel indicator. I will just fill up at 1/4 tank asI always have. LOVE, LOVE this vehicle.....stylish, comfy, and all the perks. Auto start and heated seats will surely be welcomed as winter can hit hard here in the midwest. So far, the best car I\'ve had, and I\'ve had a lot over the last 55 years!', 'March  4, 2023\nBy Sokomani from Durban South Africa\nOwns this car', 'I love so much Jeep cars and they are reliable and heavy duty, my concern is about lights I offen replace them, oil cooling system, shocks and water circulation.  Other that this is a number 1 car. I love it.', 'May 25, 2021\nBy Matt from sarasota\nOwns this car', 'This Jeep is very responsive. plenty of room in the hatch with or without the seats down. The seats are comfortable and the moon roof is wonderful .']",4.5
2010 Toyota Camry LE,"116,643 mi.",Arrow Motors,4.8,(220 reviews),"$9,999",Good Deal,"['January 24, 2023\nBy Pauline from St bernard louisiana\nOwns this car', ""I wish i could i got a 2010 Toyota Camry for a gift from my daughter and her husband its was over 10 thousand i made 15 payments on it so for and still own a little over 5 thousand when i got the car it ran great then the driver side of the AC went out the passengers side work but not the driver side i had the car for over 2 years now its sitting in front my house i went to the store in it and it just kill on me the engine would turn over but it would not start i spent over 300 for parts got a new fuel pump kit for it and change the spark plugs in it but it still not running im so stress with the car for all times for it to stop running on me i got a husband in icu and miss a lot of work i can't afford to get another car and its hard to get a ride and depending on a ride i only wish i knew what is wrong with my car i don't mean to be mean about the car  i did love the car but what good is it doing me now not running i just don't no what to do im just so heart broken"", 'July  1, 2022\nBy Steve J from Bermuda Dunes, California\nOwns this car', 'What out a doubt, the best vehicle I have ever owned.  Even with 140,000 miles, engine performance is awesome. The SE models suspension makes driving the car easy to handle even in strong winds and rain. Brakes are also impressive. I have not had a single breakdown. I regularly service tires, engine oil, filters, coolant, and brakes. The transmission has been serviced once. The car still drives and handles better than most new cars!', 'May 17, 2021\nBy Paullescault17 from West Barnstable Massachusetts\nOwns this car', 'Very spacious and practical family sedan love it great gas mileage great running car very reliable I would highly recommend a Toyota camry too anyone looking for a reliable dependable and affordable vehicle']",5.0
2014 Volkswagen Beetle Auto 1.8T w/Sun PZEV,"130,619 mi.",Arrow Motors,4.8,(220 reviews),"$10,499",Good Deal | $116 under,"['September 26, 2020\nBy LuvBug from Des Moines, Iowa\nOwns this car', 'Solid for a convertible. Goes surprisingly well in the snow and with the seats down can haul stuff. I have this as my only car and it is actually very practical.  Plus, it’s just a joy to drive.', 'September 19, 2020\nBy Dustin from Biloxi, Ms\nOwns this car', 'This car only had 11,000 miles basically a brand new car and it’s an affordable price! Also rides very smooth I can tell it was very taken care of! Love it!', 'September 17, 2019\nBy Lisa from Pilesgrove, NJ\nOwns this car', 'This car was loaded with features I did not expect. For the price it was a tremendous good deal. Leather and heated seats, Fender audio speakers, automatic plus manual transmission, convertible, etc.']",5.0
2016 Mazda Mazda6 i Touring,"111,588 mi.",Arrow Motors,4.8,(220 reviews),"$13,499",Good Deal,"['October 30, 2022\nBy RChico456 from Las Vegas, NV\nOwns this car', 'I feel very very proud when behind the wheel of my 2016 Mazda 6 Sport and driving it on highways!  With record 35,650 miles, it drives very smooth and very efficient.  It’s reliability and looks is what makes it a perfect car of my taste.  Drive one and feel for yourself!', 'June 10, 2021\nBy L. I. D. from Texas\nOwns this car', 'stylish but rides rougher than I recall during the test drive. Nevertheless, I feel safe in it. My last Mazda was totalled by an 18-wheeler and it saved my life. As crazy as they drive  in Houston, I hope this one will do the same!', 'May  6, 2021\nBy A. Scott from WV\nOwns this car', 'Have owned the car about a month and it still looks sexy to me every time I see it. Owned many cars but this is the most premium feeling car I have ever owned. Hits way above its price tag. The seats are very comfortable, plenty of room for taller people in back and front. Gas mileage is great and the Bose radio is very enjoyable to listen too.  Almost everything inside feels good to the touch and is premium. Is it perfect? No. The road noise is loud. Almost too loud. I knew that going into it but didn’t think it would be an issue but its annoying (and this is coming from a 2003 camry). The ride is firm and sporty so don’t expect a lounge chair, the upside to that is excellent handling. Storage inside is minimal and beside the road noise is my only big complaint.  But at least the trunk is generous and their is room where it counts. This car gets looks everywhere I go and is fun to drive. No it’s not fast but it is adequate.  So in summary the three biggest highlights are looks, mpg and premium feel. If those are not high priorities look elsewhere.  It was a good deal and fits my needs for now. Would I buy again? Probably not. The latest generation camry isn’t far off the marks in the looks department and I can only speculate offers more supple ride and far less road noise. But used ones still cost more then the mazda 6 I bought as well. Im hoping the mazda is as reliable as it is nice to look at and that will help.']",5.0
2013 Honda Odyssey Touring,"105,192 mi.",Arrow Motors,4.8,(220 reviews),"$14,999",Fair Deal,"['August 14, 2022\nBy Wendell from Dallas, TX\nUsed to own this car', ""Chose used 2013 odyssey for reliability and safety. Major issues with VCM, extreme oil consumption, oil bypassing seals accumulating on spark plugs causing them to foul. Honda wouldn't honor recall although year and model matched. I learned to change spark plugs myself and check oil often to stretch the life. Regret not buying VCM Muzzler."", 'June 23, 2022\nBy here from texas \nUsed to own this car', 'it was nice joyable but 2008 is better and it has a spear tire and was very nice i rate it 8/10 that better then nothing.', 'April 26, 2021\nBy Uh from Arlington TX\nOwns this car', '2008 model was much better than 2013 and what idiot eng placed a spare tire in the floor?\nWhen you have big family you need space for storage on the long trips.\nSo Ac issues, sliding door issues, EGR issues VSC issues']",5.0
2013 Toyota Camry SE,"149,924 mi.",Arrow Motors,4.8,(220 reviews),"$10,499",Good Deal,"['March 30, 2021\nBy BP from Cincinnati\nOwns this car', 'This car was the kind I was looking for. The only negative is that I will need to buy new tires in a couple months. I was very satisfied otherwise.', 'November 21, 2020\nBy SheilaC from Cleveland, Ohio\nUsed to own this car', 'I loved my 2013 Camry so much that we went out and bought a new 2020 Camry.  It was a comfortable well riding car that gave us no problems. A very reliable vehicle! In fact we all own Toyota’s in my family.', 'November 12, 2020\nBy Fan of camrys from Tyler Tx\nOwns this car', 'This car I’ve enjoyed owning and driving.  I feel safe in it. Not afraid of breaking down at all.  I take care of it so it will take care of me']",5.0
2010 Honda Pilot EX-L,"152,931 mi.",Planet Honda,4.6,"(4,623 reviews)","$7,143",Great Deal | $839 under,"['January  2, 2023\nBy John  from Dallas \nOwns this car', 'Sadly, the Honda Pilot with the variable cylinder cutoff system, is an unmitigated disaster in my experience.   This engine has had major breakdowns 3 times, and should have been recalled.  It is a shame, as otherwise it is a great car.  Would only buy a normally aspirated 4 cylinder Honda (if any Honda) in the future.', 'January 26, 2021\nBy sports fan from ny ny\nOwns this car', 'Nothing but issues no one can figure out. vibrates at 45 mph. NO leg room in 3rd row. book says u can only use 4wd up to 15mph????', 'December 16, 2020\nBy Freddy from Hudson MA\nOwns this car', 'Full size room but feels like a mid size SUV.  Able to transport two large dog crates.  Gets good gas mileage.  I would buy another one.']",5.0
2009 Acura TL Technology,"138,355 mi.",Planet Honda,4.6,"(4,623 reviews)","$9,549",Good Deal,"['June 30, 2023\nBy Julio from New York \nUsed to own this car', 'Is a good car to go to work is really comfortable is good in the snow I never had an issue I will buy another one', 'November 17, 2020\nBy Barry Goodwin from Bridgeport\nTest drove this car', 'Absolutely one-of-a-kind I will recommend anyone to drive it or buy one beautiful car comfortable and Spacey roomy I like the car myself I recommend anyone to have one', 'July 30, 2020\nBy Hueyca444 from Los Angeles, CA\nTest drove this car', 'Lot of used cars out there,\nthis one for the money safe, and reliable \ntell family and friends to use and try\nAcura for the money very good car']",5.0
