,Name,Mileage,Dealer Name,Rating,Review Count,Price,Year,Make,Model,Type
0,2015 Ford C-Max Hybrid SEL,"88,380 mi.",Capitol Kia,3.8,(180 reviews),10998.0,2015,Ford,C-Max,Hybrid SEL
1,2016 Kia Sorento LX,"100,837 mi.",Napleton Mazda of Naperville,3.9,(115 reviews),12577.0,2016,Kia,Sorento,LX
2,2016 Mitsubishi Lancer ES,"133,750 mi.",AVA Auto Sales,4.140820980615735,(8 reviews),8495.0,2016,Mitsubishi,Lancer,ES
3,2011 Ford Escape XLT,"110,862 mi.",94 Nissan Of South Holland,4.7,"(2,682 reviews)",7869.0,2011,Ford,Escape,XLT
4,2017 Dodge Journey SXT,"58,595 mi.",Lithia Chrysler Jeep Dodge Ram of Wasilla,4.6,(543 reviews),14888.0,2017,Dodge,Journey,SXT
5,2003 Ford Focus ZX3,"48,514 mi.",Supreme Automotive,4.5,(60 reviews),6999.0,2003,Ford,Focus,ZX3
6,2020 Mitsubishi Mirage G4 ES,"17,531 mi.",Quattro Motors,4.140820980615735,(108 reviews),13200.0,2020,Mitsubishi,Mirage,G4 ES
7,2015 Honda Fit LX,"150,273 mi.",Germain Mazda West,5.0,(13 reviews),8553.0,2015,Honda,Fit,LX
8,1997 Chevrolet Camaro Z28,"89,992 mi.",Route 36 Motorcars,4.140820980615735,(8 reviews),14975.0,1997,Chevrolet,Camaro,Z28
9,2013 Toyota Camry LE,"92,100 mi.",Tregembo Motors,4.140820980615735,(9 reviews),13770.0,2013,Toyota,Camry,LE
10,2007 BMW 335 i,"149,930 mi.",AVA Auto Sales,4.140820980615735,(8 reviews),9495.0,2007,BMW,335,i
11,2015 Hyundai Tucson GLS,"60,221 mi.",Koons of Falls Church Ford,3.8,(990 reviews),15000.0,2015,Hyundai,Tucson,GLS
12,2013 Nissan Pathfinder S,"110,864 mi.",Gordie Boucher Ford Lincoln of West Bend,4.7,"(2,106 reviews)",11615.0,2013,Nissan,Pathfinder,S
13,2015 Ford Fiesta S,"39,042 mi.",North Naperville Autos,4.140820980615735,(0 reviews),9499.0,2015,Ford,Fiesta,S
14,2014 GMC Acadia Denali,"139,772 mi.",T&S Auto Sales Inc,4.140820980615735,(1 review),10995.0,2014,GMC,Acadia,Denali
15,2007 Mercedes-Benz CL-Class CL550,"105,234 mi.",T&S Auto Sales Inc,4.140820980615735,(1 review),13995.0,2007,Mercedes-Benz,CL-Class,CL550
16,2014 BMW i3 Base w/Range Extender,"61,184 mi.",Wallingford Auto Park,4.3,(802 reviews),13000.0,2014,BMW,i3,Base w/Range Extender
17,2009 Hyundai Accent GLS,"54,337 mi.",Wallingford Auto Park,4.3,(802 reviews),7500.0,2009,Hyundai,Accent,GLS
18,2016 Nissan Leaf S,"6,289 mi.",Boch Honda West,4.3,"(2,088 reviews)",12296.0,2016,Nissan,Leaf,S
19,1995 Mitsubishi 3000GT SL,"95,886 mi.",Marquardt of Barrington Buick-GMC,4.7,(671 reviews),11503.0,1995,Mitsubishi,3000GT,SL
